EPISODE	TIME_ELAPSED	TOTAL_REWARD
0	3442	372.98338213599845
1	2355	-271.75512202337916
2	3019	-258.8882002876867
3	1425	-390.2627303545504
4	6262	5.789234468616172
5	1708	-259.3626440341668
6	1820	-255.33839494670633
7	2764	-196.24737781043865
8	2452	-301.9471612604124
9	1431	-186.32846950061798
10	1309	-171.02884806177238
11	2053	-152.07688722310195
12	1709	-304.04780514916706
13	1902	-236.37648307735324
14	1859	-183.25571030719215
15	1485	-340.98587284089353
16	1619	-225.3614418615104
17	1399	-262.3107632217496
18	1577	-258.0691420579414
19	1876	-267.3873947700301
20	1354	-226.24347889540113
21	1612	-216.42143494769053
22	1336	-268.5270061590689
23	1620	-218.91289522385168
24	1666	-197.18616125785522
25	1653	-293.28474529691675
26	7142	-179.3322041087977
27	5803	-219.559769589883
28	3788	-209.57231562828804
29	2103	-233.27689427009324
30	2231	-311.1639184624335
31	4651	-36.058747661179865
32	1576	-133.13523564272572
33	1228	-250.48286693812227
34	3185	-96.11401001175382
35	1226	-252.7216621944001
36	1844	-234.79289572557622
37	1969	-273.02252982534594
38	1550	-253.10236264184317
39	4518	811.3585361239636
40	1692	-113.03505790526762
41	4722	931.0689363297636
42	1524	-311.75937133082067
43	1916	-251.13462481799303
44	1351	-160.80558637345317
45	2099	535.5308024471791
46	1482	-57.38332922911266
47	1547	-124.66145126998579
48	2223	826.7212135082831
49	1854	-235.28736749777838
50	2607	-90.57722448096277
51	1784	-150.26383733983008
52	1822	762.3346463558075
53	1382	933.9469717427958
54	3607	990.4197890776484
55	2943	-188.5704070219451
56	2802	-343.1065520169368
57	1959	-132.2513961288284
58	1951	-241.56777944039334
59	2462	-106.35063783667022
60	1513	763.9837456863061
61	1788	-211.70105713760984
62	2036	-212.01748512507908
63	1648	-227.70518283160402
64	1488	-149.04789213688582
65	2320	-354.01364109276994
66	1852	-267.4351741140109
67	2464	-384.59987950892423
68	1525	-232.7688704629081
69	1295	738.0560498396262
70	1932	785.4460681396956
71	3577	-86.11874120964404
72	2424	938.5025295524007
73	1738	807.3536092405325
74	2384	-358.2049959204826
75	8005	175.12655822404847
76	8036	226.73125886081564
77	3683	-104.40813002216328
78	2287	-249.3308515411687
79	1656	-200.19355562627646
80	2083	-268.3189401479059
81	2369	-96.16895678789368
82	1761	-210.474384949318
83	8013	86.33472397987744
84	2666	-146.59337047118538
85	2106	-149.2119300949099
86	2231	902.2317954385529
87	2575	-128.79340079817223
88	6331	-146.9132056959761
89	3536	-119.96870287891193
90	3518	-134.38316318730114
91	2277	-66.77006333781588
92	2722	-129.98631592823747
93	3037	-169.21352939630293
94	2456	-237.50339617242398
95	3260	-178.7133479526611
96	2433	-195.14452428524643
97	3635	-102.8968734838426
98	1855	-224.85689618354752
99	3774	-38.21785926161749
100	4354	-230.72840616579515
101	1736	-138.96652364965396
102	2629	-258.54249563999133
103	1375	-161.44095335152852
104	3777	-139.9963015401133
105	1948	-233.34161633529368
106	3232	-249.70796867653175
107	1760	-89.34784668689969
108	2287	-196.62945234324695
109	2912	-247.34315776795052
110	2590	-339.87488427800326
111	2538	949.3059512491383
112	2145	-286.4361474072089
113	1468	-206.63093959541158
114	3358	-252.90449549248535
115	2051	825.4229156561698
116	2018	-108.99901324457221
117	2816	-131.80465033690106
118	6657	-183.1113096546086
119	2076	-142.74299643906727
120	1977	-218.90638382087843
121	3998	-198.2649945530755
122	2536	-149.08329525962688
123	2686	796.7148278400286
124	1647	-135.38165343843772
125	4183	-158.67721934545926
126	2185	-112.85350710431665
127	3943	-161.52791212849888
128	5859	1036.540479010699
129	2822	-379.42716272854705
130	1712	-76.92759409699882
131	1594	-136.66905474162354
132	4596	-105.3359047410132
133	2102	-265.5261045196389
134	2232	-23.89718495067592
135	5212	1.5218749477192262
136	2992	-105.70941741370045
137	1930	810.3379602442403
138	8007	-29.545889503338586
139	3143	-190.42251568740443
140	8012	119.16193147307143
141	6801	-151.31816268535232
142	2550	797.0492410292643
143	2009	-158.0599889839166
144	8002	87.13053129837081
145	1716	-147.12501306472916
146	8006	209.77164202189417
147	4120	-159.39373335207546
148	8013	165.41444564109102
149	3036	-154.32998083013592
150	3252	865.3897490322374
151	3239	-118.16341453033355
152	8007	260.67978105197164
153	1992	-143.615622008535
154	2232	930.328282700258
155	2764	-181.172913294478
156	3051	-177.02728188032918
157	2681	5.888072472624003
158	2315	-210.46072521977032
159	2152	-215.37605263497466
160	2923	-297.0468434737805
161	8009	97.66815100012542
162	3169	891.4116344485939
163	6128	-220.5854032644092
164	2561	-239.20973766919644
165	4670	-83.55011202013084
166	5468	-90.10533638364808
167	5248	-97.90684347875043
168	5020	803.462762808692
169	3524	915.6401421471297
170	1753	-143.47189318420823
171	8013	39.86790241600772
172	2748	-323.2606068252811
173	4642	-87.43823814547906
174	5923	-86.59657633639912
175	2924	1023.1194722008514
176	1591	-162.82155466768455
177	1967	-121.21817267196593
178	2209	-149.18244269584352
179	8000	64.30076599675533
180	1554	822.0377644235933
181	3767	-105.56432246815972
182	8017	183.9662815253644
183	3953	988.7129062137744
184	1741	-151.46045185243335
185	2022	-139.34524506010507
186	8010	123.07032750189347
187	8002	286.96173271082506
188	2732	774.4814478660445
189	2426	1034.2205952550175
190	2193	979.2587427683166
191	1728	-204.114389129226
192	3004	-10.307679407241636
193	8006	134.26180214102746
194	8008	125.95518166236656
195	3988	-189.89876224280061
196	2147	-192.08799656849263
197	2312	-231.2880246584894
198	8014	214.64253972544853
199	8004	236.6659334827542
200	3835	941.777725494574
201	2467	-134.41189808605367
202	3473	-399.87163966944104
203	8030	163.82793515395426
204	2131	-190.9540761627843
205	2014	-184.33210358178127
206	2664	756.9824819156732
207	8014	230.3998682632476
208	8002	98.42084226590214
209	1483	-123.83549206306122
210	2866	830.2543903227465
211	4491	883.1457186941603
212	1387	744.6186547109663
213	8004	142.43894371119126
214	2558	-270.6211471601076
215	8014	135.92852686497437
216	1609	-186.59851983685925
217	2130	757.8027763263435
218	8014	199.09084639353338
219	1870	-144.52692519193815
220	2038	-215.3049455601791
221	8050	130.21722534523687
222	1631	-160.42403847720598
223	2669	-143.23881070312393
224	8006	307.60109441914165
225	1558	990.1842481387425
226	8011	134.67737841636477
227	2356	-164.28331488139077
228	1586	1000.7680324415096
229	8003	149.57741995980112
230	6741	-105.12935633126074
231	8084	146.85221400833078
232	1457	-254.03454120293426
233	6455	-73.80337070489902
234	2972	-61.29404777314154
235	1774	844.1588631028131
236	3303	-94.89502842938549
237	2541	-99.91613870697533
238	4507	969.8507826569197
239	2271	887.2247348878469
240	5548	-126.54997653050393
241	1745	-63.61954658538761
242	3018	-229.37397954896693
